niche_breadth_scaling_coef,m_immigration,m_immigration_black_mats,nu,dispersal_kernel_slope,i_sim
4,0.1,0.1,0.01,1e3,4794
4,0.009,0.005,0.1,1e5,4795
20,0.9,0.009,1e-5,1e3,4796
20,0.05,0.009,0.01,1e6,4797
1,0.1,0.09,0.1,1e6,4798
20,0.05,0.009,1e-6,10,4799
1,0.5,0.005,1e-6,1e4,4800
20,0.09,0.05,0.1,10,4801
4,0.01,0.05,0.001,1e4,4802
4,0.05,0.009,1e-5,1e6,4803
20,0.009,0.05,1e-4,10,4804
4,0.005,0.001,0.001,1e3,4805
4,0.05,0.01,0.1,1e3,4806
1,0.09,0.01,1e-4,1e3,4807
1,0.9,0.009,0.1,10,4808
4,0.9,0.001,1e-6,100,4809
20,0.1,0.005,1e-6,1e3,4810
4,0.05,0.005,0.001,1e5,4811
20,0.01,0.01,0.1,1e3,4812
20,0.09,0.05,0.001,10,4813
20,0.01,0.01,0.01,1e3,4814
20,0.05,0.9,1e-6,1e4,4815
4,0.1,0.009,0.1,1e3,4816
1,0.1,0.09,0.01,1e4,4817
4,0.09,0.009,0.1,1e3,4818
1,0.01,0.001,0.01,100,4819
1,0.009,0.001,1e-6,10,4820
1,0.001,0.01,1e-6,1e6,4821
4,0.001,0.9,1e-4,1e3,4822
20,0.5,0.001,1e-6,1e5,4823
1,0.5,0.1,1e-4,10,4824
1,0.09,0.009,1e-5,1e5,4825
1,0.001,0.009,0.01,1e3,4826
1,0.5,0.001,0.01,1e4,4827
4,0.001,0.1,0.001,1e3,4828
1,0.1,0.5,0.01,10,4829
20,0.001,0.05,1e-6,1e3,4830
20,0.005,0.005,1e-5,1e3,4831
1,0.9,0.001,1e-6,10,4832
20,0.5,0.005,1e-5,1e4,4833
1,0.9,0.009,0.001,1e5,4834
20,0.005,0.1,0.1,1e3,4835
1,0.001,0.1,0.1,1e4,4836
1,0.01,0.005,1e-6,1e6,4837
20,0.05,0.001,1e-6,1e6,4838
4,0.9,0.1,1e-6,1e6,4839
20,0.01,0.001,0.1,10,4840
4,0.05,0.1,1e-5,100,4841
1,0.1,0.5,0.001,1e4,4842
4,0.001,0.5,1e-4,10,4843
1,0.5,0.005,0.001,10,4844
1,0.005,0.005,1e-6,1e3,4845
4,0.05,0.09,1e-5,100,4846
4,0.01,0.001,0.01,10,4847
4,0.05,0.5,1e-5,1e6,4848
20,0.009,0.09,1e-4,100,4849
4,0.5,0.05,0.1,1e5,4850
1,0.9,0.009,1e-6,100,4851
4,0.09,0.05,0.01,1e3,4852
20,0.09,0.09,0.01,1e5,4853
20,0.005,0.01,0.001,1e4,4854
4,0.05,0.001,1e-4,1e5,4855
1,0.5,0.001,0.1,1e4,4856
4,0.005,0.1,1e-5,1e3,4857
20,0.009,0.5,0.1,1e4,4858
20,0.005,0.005,0.1,1e5,4859
20,0.01,0.05,0.01,1e3,4860
4,0.09,0.01,0.1,1e3,4861
20,0.9,0.01,0.01,1e6,4862
20,0.005,0.09,1e-5,1e3,4863
20,0.09,0.09,1e-6,10,4864
1,0.05,0.001,1e-5,10,4865
1,0.9,0.01,0.001,1e6,4866
4,0.1,0.5,1e-5,10,4867
4,0.5,0.9,0.01,1e4,4868
20,0.5,0.1,0.1,1e3,4869
20,0.5,0.5,1e-6,1e5,4870
4,0.05,0.01,1e-4,100,4871
20,0.1,0.09,0.01,1e4,4872
1,0.005,0.005,1e-4,100,4873
1,0.9,0.05,0.01,10,4874
20,0.9,0.005,0.01,1e4,4875
1,0.009,0.05,0.001,1e3,4876
20,0.1,0.01,0.01,1e5,4877
4,0.9,0.005,1e-6,1e5,4878
20,0.05,0.01,0.1,1e6,4879
1,0.001,0.009,0.01,10,4880
1,0.1,0.009,1e-5,1e3,4881
1,0.5,0.005,1e-6,1e6,4882
1,0.001,0.1,1e-4,100,4883
20,0.05,0.9,1e-5,1e6,4884
1,0.1,0.001,0.1,10,4885
4,0.009,0.1,0.01,1e5,4886
4,0.005,0.05,0.01,100,4887
20,0.05,0.5,1e-6,1e6,4888
1,0.01,0.001,0.001,10,4889
1,0.009,0.5,0.1,1e6,4890
1,0.01,0.005,1e-6,100,4891
20,0.5,0.1,0.001,100,4892
20,0.05,0.1,0.001,1e3,4893
1,0.1,0.1,0.01,1e4,4894
1,0.1,0.01,0.1,1e3,4895
20,0.09,0.9,0.1,1e5,4896
1,0.09,0.009,1e-5,100,4897
1,0.01,0.05,1e-6,1e4,4898
4,0.001,0.01,1e-5,1e5,4899
1,0.005,0.001,0.001,100,4900
4,0.1,0.5,1e-5,10,4901
1,0.05,0.05,1e-4,100,4902
20,0.09,0.9,1e-5,1e3,4903
20,0.1,0.001,0.001,1e6,4904
1,0.9,0.1,0.1,1e4,4905
4,0.5,0.005,1e-4,1e5,4906
4,0.01,0.01,1e-5,100,4907
4,0.9,0.1,0.1,1e6,4908
1,0.09,0.9,1e-5,1e6,4909
20,0.01,0.01,0.001,1e3,4910
1,0.5,0.009,1e-4,100,4911
1,0.01,0.9,1e-4,100,4912
4,0.005,0.01,1e-5,1e4,4913
20,0.09,0.1,1e-5,1e6,4914
4,0.001,0.05,0.01,1e4,4915
1,0.05,0.1,1e-5,1e6,4916
20,0.5,0.1,0.1,1e3,4917
4,0.1,0.9,0.001,10,4918
1,0.005,0.005,0.1,1e4,4919
1,0.01,0.01,0.1,10,4920
1,0.9,0.005,1e-4,1e3,4921
1,0.9,0.009,0.01,1e3,4922
20,0.5,0.9,1e-4,1e3,4923
1,0.005,0.01,0.001,100,4924
4,0.005,0.9,0.1,1e6,4925
20,0.5,0.05,1e-5,1e6,4926
20,0.5,0.5,0.01,1e4,4927
1,0.05,0.01,0.01,1e5,4928
1,0.1,0.1,0.01,1e5,4929
4,0.1,0.09,1e-6,10,4930
20,0.5,0.09,0.1,1e5,4931
4,0.009,0.001,0.01,1e6,4932
20,0.01,0.1,1e-4,10,4933
4,0.9,0.001,0.001,100,4934
20,0.9,0.005,1e-4,1e6,4935
4,0.009,0.01,0.01,100,4936
20,0.5,0.001,1e-5,1e3,4937
1,0.01,0.05,1e-4,100,4938
4,0.5,0.05,1e-5,1e4,4939
4,0.01,0.005,1e-5,1e6,4940
1,0.009,0.5,0.1,1e6,4941
20,0.9,0.009,0.1,1e5,4942
1,0.009,0.05,1e-4,1e6,4943
20,0.005,0.05,0.001,1e4,4944
4,0.5,0.05,0.001,100,4945
20,0.1,0.05,0.01,1e4,4946
1,0.001,0.005,0.001,10,4947
4,0.09,0.005,1e-5,1e5,4948
4,0.9,0.01,0.1,1e6,4949
4,0.5,0.01,0.001,100,4950
4,0.005,0.01,1e-4,10,4951
1,0.05,0.05,0.001,100,4952
20,0.5,0.5,1e-5,100,4953
20,0.05,0.1,1e-4,1e4,4954
4,0.9,0.01,1e-4,10,4955
4,0.009,0.1,1e-6,100,4956
4,0.01,0.001,1e-4,1e3,4957
1,0.05,0.001,0.01,1e6,4958
1,0.1,0.9,0.001,1e3,4959
1,0.01,0.001,0.001,1e5,4960
1,0.09,0.1,1e-5,1e3,4961
1,0.09,0.01,0.1,10,4962
4,0.009,0.05,1e-6,1e3,4963
20,0.009,0.01,1e-6,1e3,4964
1,0.09,0.5,0.1,1e5,4965
4,0.9,0.5,1e-5,1e6,4966
4,0.005,0.01,1e-5,100,4967
4,0.9,0.09,1e-4,1e3,4968
20,0.9,0.005,1e-6,100,4969
20,0.05,0.1,0.1,1e3,4970
4,0.009,0.005,1e-5,1e5,4971
4,0.09,0.009,0.001,100,4972
4,0.5,0.09,0.01,10,4973
20,0.1,0.9,0.1,1e3,4974
1,0.001,0.01,1e-4,10,4975
1,0.001,0.001,1e-5,10,4976
20,0.1,0.005,1e-5,10,4977
4,0.01,0.05,1e-4,1e5,4978
4,0.009,0.005,1e-5,1e3,4979
4,0.005,0.1,0.001,1e4,4980
1,0.009,0.009,0.01,1e3,4981
4,0.009,0.001,0.001,1e5,4982
20,0.05,0.01,1e-6,1e6,4983
1,0.01,0.009,0.1,1e5,4984
20,0.001,0.01,1e-5,1e3,4985
4,0.05,0.001,1e-4,1e3,4986
20,0.01,0.05,0.1,1e6,4987
4,0.01,0.01,1e-4,1e6,4988
4,0.9,0.001,0.01,1e5,4989
4,0.1,0.9,1e-5,1e6,4990
20,0.009,0.05,0.1,1e6,4991
4,0.005,0.05,0.1,1e3,4992
4,0.05,0.005,0.1,10,4993
20,0.5,0.5,1e-6,10,4994
20,0.5,0.5,1e-5,1e6,4995
1,0.05,0.001,1e-5,1e4,4996
1,0.01,0.001,1e-5,1e6,4997
1,0.05,0.001,0.001,1e5,4998
20,0.9,0.5,0.1,1e4,4999
1,0.05,0.5,1e-6,1e5,5000
20,0.009,0.01,0.1,1e4,5001
1,0.01,0.9,0.01,1e3,5002
20,0.9,0.009,1e-5,1e5,5003
20,0.1,0.09,1e-5,100,5004
4,0.005,0.1,0.001,1e4,5005
20,0.5,0.5,1e-5,1e4,5006
4,0.01,0.1,0.1,1e4,5007
20,0.001,0.01,1e-5,1e4,5008
20,0.1,0.01,0.1,1e4,5009
1,0.005,0.005,1e-6,1e4,5010
4,0.5,0.1,0.01,1e4,5011
20,0.009,0.1,1e-6,1e6,5012
1,0.05,0.001,0.01,1e5,5013
4,0.005,0.9,1e-4,10,5014
20,0.001,0.009,0.1,1e5,5015
1,0.1,0.009,1e-5,1e4,5016
1,0.01,0.9,0.001,10,5017
1,0.09,0.1,0.1,1e4,5018
1,0.05,0.009,1e-5,1e6,5019
4,0.05,0.009,1e-5,100,5020
20,0.001,0.001,1e-5,1e5,5021
4,0.01,0.001,0.001,1e4,5022
20,0.05,0.009,1e-6,100,5023
1,0.001,0.1,0.001,10,5024
4,0.9,0.001,0.1,1e5,5025
1,0.9,0.9,1e-6,1e6,5026
20,0.001,0.9,0.001,1e3,5027
4,0.001,0.005,0.1,1e5,5028
4,0.01,0.09,0.1,100,5029
20,0.001,0.1,1e-4,1e6,5030
4,0.9,0.01,1e-6,1e4,5031
20,0.1,0.09,0.1,100,5032
20,0.1,0.009,0.01,10,5033
4,0.5,0.05,0.01,10,5034
4,0.1,0.1,0.1,1e4,5035
20,0.001,0.09,0.01,100,5036
20,0.005,0.09,0.1,1e6,5037
1,0.01,0.5,1e-5,1e4,5038
1,0.005,0.05,0.001,1e5,5039
20,0.9,0.09,0.1,100,5040
4,0.5,0.005,1e-5,100,5041
4,0.5,0.9,0.1,1e4,5042
20,0.5,0.1,1e-6,1e3,5043
20,0.1,0.05,0.1,1e4,5044
20,0.1,0.09,1e-5,10,5045
20,0.1,0.009,1e-5,1e4,5046
20,0.5,0.09,0.001,1e3,5047
4,0.01,0.005,0.1,1e3,5048
20,0.009,0.005,0.01,1e6,5049
4,0.9,0.9,1e-5,10,5050
20,0.1,0.05,0.001,1e3,5051
20,0.05,0.005,1e-4,1e4,5052
1,0.01,0.009,1e-6,1e3,5053
4,0.001,0.01,1e-5,1e5,5054
20,0.9,0.001,1e-6,1e5,5055
1,0.05,0.09,0.01,100,5056
4,0.005,0.9,1e-4,1e5,5057
20,0.1,0.05,0.01,1e5,5058
1,0.009,0.1,1e-6,1e5,5059
4,0.001,0.005,0.001,1e4,5060
1,0.005,0.01,1e-4,1e3,5061
4,0.005,0.09,0.001,1e3,5062
1,0.005,0.05,1e-5,1e3,5063
4,0.9,0.05,0.01,100,5064
4,0.001,0.009,1e-5,100,5065
1,0.001,0.009,0.001,1e3,5066
20,0.5,0.1,0.1,100,5067
1,0.001,0.01,1e-6,1e4,5068
1,0.05,0.001,1e-6,1e3,5069
4,0.9,0.1,0.01,10,5070
20,0.05,0.5,0.1,10,5071
20,0.9,0.05,0.01,100,5072
1,0.01,0.1,0.1,10,5073
4,0.1,0.5,1e-4,100,5074
4,0.9,0.05,1e-6,1e4,5075
20,0.009,0.005,1e-5,100,5076
20,0.09,0.001,1e-6,10,5077
1,0.01,0.005,1e-4,100,5078
20,0.01,0.09,0.001,10,5079
20,0.9,0.5,1e-6,1e4,5080
4,0.9,0.005,0.1,1e6,5081
20,0.5,0.009,1e-5,1e4,5082
4,0.009,0.9,0.1,100,5083
1,0.5,0.9,1e-5,1e6,5084
4,0.01,0.009,1e-4,1e4,5085
4,0.5,0.9,1e-4,1e5,5086
4,0.09,0.009,0.001,10,5087
4,0.005,0.01,1e-5,1e4,5088
4,0.005,0.09,1e-4,1e5,5089
20,0.05,0.009,0.1,1e3,5090
4,0.1,0.9,1e-6,1e5,5091
20,0.009,0.005,0.01,100,5092
20,0.001,0.09,0.001,1e6,5093
1,0.05,0.001,1e-6,1e4,5094
20,0.005,0.9,1e-4,1e5,5095
1,0.009,0.005,1e-5,10,5096
20,0.01,0.001,1e-6,1e4,5097
4,0.01,0.01,0.1,100,5098
20,0.9,0.5,1e-6,1e6,5099
1,0.05,0.09,1e-5,100,5100
20,0.009,0.005,1e-6,10,5101
4,0.5,0.5,0.001,1e3,5102
20,0.001,0.001,1e-4,100,5103
4,0.9,0.05,0.001,1e4,5104
20,0.09,0.009,1e-5,100,5105
1,0.5,0.01,0.001,1e5,5106
4,0.005,0.01,0.01,1e6,5107
1,0.05,0.01,1e-6,1e3,5108
20,0.05,0.005,1e-4,1e4,5109
20,0.005,0.1,0.1,10,5110
20,0.9,0.005,1e-6,1e6,5111
1,0.9,0.09,1e-5,1e4,5112
1,0.09,0.5,1e-4,1e5,5113
4,0.009,0.009,1e-5,10,5114
4,0.005,0.05,1e-6,1e5,5115
20,0.5,0.009,0.001,1e3,5116
1,0.009,0.5,1e-5,1e4,5117
1,0.005,0.009,0.1,10,5118
1,0.9,0.001,0.1,100,5119
4,0.001,0.01,1e-4,1e3,5120
4,0.005,0.5,1e-5,10,5121
1,0.001,0.9,1e-4,100,5122
20,0.9,0.5,0.001,100,5123
20,0.9,0.009,0.01,1e5,5124
20,0.5,0.005,1e-4,100,5125
20,0.001,0.05,1e-6,1e5,5126
20,0.9,0.5,0.001,1e6,5127
20,0.005,0.009,1e-5,1e6,5128
20,0.01,0.05,1e-4,100,5129
20,0.5,0.009,1e-4,1e3,5130
1,0.001,0.05,0.1,1e3,5131
4,0.001,0.009,1e-5,1e3,5132
1,0.05,0.001,0.01,1e3,5133
20,0.05,0.09,1e-4,1e4,5134
1,0.1,0.009,1e-5,1e5,5135
1,0.9,0.05,1e-6,100,5136
4,0.05,0.001,0.1,10,5137
4,0.05,0.5,1e-5,1e3,5138
4,0.005,0.001,0.01,1e4,5139
4,0.001,0.09,0.001,100,5140
20,0.1,0.5,0.1,10,5141
4,0.09,0.005,0.001,1e4,5142
4,0.5,0.01,0.1,1e5,5143
1,0.05,0.9,0.01,10,5144
1,0.1,0.005,1e-4,1e4,5145
20,0.09,0.001,0.1,10,5146
20,0.09,0.09,0.01,100,5147
4,0.01,0.5,0.001,1e5,5148
1,0.05,0.9,1e-6,1e6,5149
20,0.009,0.001,1e-4,100,5150
1,0.5,0.005,1e-4,1e3,5151
20,0.001,0.005,1e-4,10,5152
4,0.9,0.9,1e-4,1e6,5153
4,0.09,0.9,0.001,1e3,5154
20,0.01,0.5,1e-4,1e4,5155
1,0.009,0.05,1e-4,1e5,5156
1,0.009,0.005,0.1,10,5157
20,0.01,0.9,0.1,1e4,5158
4,0.5,0.005,1e-5,1e5,5159
1,0.09,0.001,1e-5,1e3,5160
1,0.09,0.09,0.1,10,5161
1,0.001,0.01,1e-6,1e5,5162
4,0.009,0.1,1e-6,1e5,5163
4,0.09,0.1,1e-6,1e6,5164
4,0.5,0.01,1e-4,1e4,5165
20,0.009,0.5,1e-6,1e4,5166
1,0.9,0.005,1e-5,1e3,5167
1,0.09,0.01,0.1,1e6,5168
1,0.001,0.09,0.1,1e3,5169
4,0.5,0.001,1e-6,100,5170
4,0.05,0.001,0.1,1e6,5171
1,0.9,0.1,1e-4,1e6,5172
1,0.001,0.005,1e-5,1e3,5173
4,0.009,0.09,0.1,100,5174
20,0.05,0.009,0.01,1e6,5175
1,0.1,0.1,0.001,1e5,5176
20,0.01,0.1,0.1,10,5177
1,0.9,0.005,0.01,1e5,5178
20,0.01,0.009,1e-4,100,5179
20,0.5,0.9,1e-4,1e3,5180
4,0.01,0.005,1e-4,1e5,5181
4,0.1,0.5,0.001,10,5182
20,0.001,0.5,0.001,1e5,5183
1,0.09,0.001,1e-5,1e5,5184
20,0.005,0.1,1e-6,1e3,5185
4,0.1,0.09,0.01,1e3,5186
1,0.01,0.9,0.1,1e5,5187
20,0.005,0.009,0.01,1e3,5188
1,0.9,0.005,1e-5,1e6,5189
20,0.005,0.005,1e-6,1e5,5190
1,0.09,0.5,0.1,1e5,5191
20,0.005,0.005,1e-5,1e4,5192
20,0.09,0.05,0.01,100,5193
4,0.5,0.005,0.1,1e5,5194
1,0.05,0.09,0.001,1e4,5195
1,0.005,0.1,0.001,1e6,5196
20,0.005,0.09,1e-6,10,5197
1,0.09,0.5,1e-4,10,5198
20,0.1,0.5,0.1,1e4,5199
4,0.5,0.9,0.01,1e5,5200
20,0.5,0.5,0.1,100,5201
20,0.9,0.5,1e-6,10,5202
1,0.005,0.9,1e-6,1e3,5203
4,0.01,0.05,1e-6,1e3,5204
1,0.5,0.09,1e-5,1e4,5205
1,0.5,0.05,0.01,1e3,5206
20,0.05,0.9,1e-4,1e4,5207
20,0.01,0.1,0.1,100,5208
4,0.009,0.1,1e-5,1e4,5209
1,0.01,0.01,1e-6,100,5210
20,0.01,0.001,1e-4,10,5211
20,0.001,0.005,1e-4,100,5212
1,0.1,0.01,0.1,1e3,5213
20,0.09,0.005,1e-6,1e4,5214
20,0.1,0.5,0.001,10,5215
1,0.05,0.001,0.001,10,5216
4,0.009,0.1,0.01,100,5217
20,0.01,0.5,1e-5,1e5,5218
4,0.9,0.1,0.01,100,5219
4,0.09,0.009,1e-4,1e4,5220
20,0.009,0.001,0.1,1e3,5221
1,0.05,0.05,0.1,1e5,5222
1,0.01,0.09,0.001,10,5223
1,0.005,0.05,0.001,1e5,5224
4,0.05,0.5,1e-4,1e5,5225
1,0.001,0.01,0.001,1e5,5226
1,0.009,0.1,1e-6,1e4,5227
4,0.5,0.05,1e-6,1e5,5228
4,0.01,0.01,1e-5,1e6,5229
1,0.009,0.009,0.01,1e5,5230
1,0.009,0.005,1e-4,100,5231
4,0.009,0.9,1e-4,1e6,5232
1,0.009,0.5,0.001,10,5233
4,0.005,0.09,1e-4,1e6,5234
4,0.5,0.05,0.001,1e5,5235
1,0.001,0.09,1e-6,100,5236
20,0.1,0.009,1e-5,1e3,5237
4,0.005,0.009,0.1,10,5238
4,0.1,0.09,0.01,100,5239
1,0.005,0.09,0.001,10,5240
4,0.001,0.09,1e-5,1e5,5241
20,0.9,0.1,0.1,100,5242
20,0.1,0.5,0.01,1e5,5243
4,0.005,0.09,0.001,1e5,5244
1,0.009,0.001,1e-4,1e3,5245
20,0.01,0.01,0.01,1e3,5246
4,0.5,0.1,1e-6,1e5,5247
20,0.005,0.5,1e-4,1e4,5248
4,0.009,0.5,0.001,1e5,5249
1,0.005,0.09,0.1,1e3,5250
20,0.09,0.005,1e-5,1e4,5251
4,0.05,0.009,0.01,1e5,5252
4,0.05,0.005,1e-4,10,5253
4,0.005,0.009,1e-6,1e4,5254
1,0.009,0.005,1e-4,1e3,5255
20,0.5,0.01,0.001,10,5256
1,0.009,0.09,1e-4,1e3,5257
1,0.9,0.005,1e-6,1e6,5258
1,0.009,0.005,0.001,10,5259
4,0.9,0.05,1e-6,1e4,5260
20,0.01,0.009,0.01,10,5261
20,0.9,0.5,1e-4,10,5262
20,0.01,0.005,1e-4,100,5263
4,0.005,0.09,1e-4,1e4,5264
20,0.01,0.01,1e-5,10,5265
20,0.001,0.5,1e-6,100,5266
1,0.5,0.9,1e-4,1e3,5267
20,0.001,0.9,0.001,1e6,5268
4,0.001,0.1,0.1,1e3,5269
1,0.05,0.1,1e-4,10,5270
20,0.01,0.01,1e-6,1e3,5271
1,0.5,0.9,0.01,1e6,5272
1,0.9,0.009,0.001,100,5273
20,0.05,0.009,1e-6,100,5274
1,0.05,0.009,0.001,1e4,5275
20,0.9,0.1,1e-5,100,5276
4,0.5,0.005,1e-5,1e5,5277
20,0.1,0.01,0.1,1e6,5278
1,0.9,0.009,1e-6,1e5,5279
20,0.05,0.9,0.001,1e6,5280
1,0.09,0.9,1e-5,1e5,5281
4,0.09,0.05,0.1,10,5282
1,0.005,0.009,1e-5,100,5283
20,0.5,0.5,0.001,1e3,5284
20,0.001,0.009,0.1,1e5,5285
4,0.9,0.009,1e-5,10,5286
20,0.01,0.1,1e-4,1e4,5287
1,0.05,0.05,1e-5,1e5,5288
4,0.001,0.09,1e-4,1e3,5289
1,0.05,0.05,1e-5,1e4,5290
4,0.005,0.5,0.1,100,5291
4,0.09,0.09,0.01,1e5,5292
1,0.09,0.05,0.1,10,5293
4,0.09,0.009,0.01,10,5294
4,0.5,0.05,0.01,1e5,5295
20,0.5,0.1,0.01,1e4,5296
4,0.01,0.5,1e-5,1e4,5297
4,0.05,0.009,1e-6,1e6,5298
20,0.9,0.5,0.001,1e3,5299
4,0.09,0.009,1e-5,10,5300
4,0.01,0.009,1e-6,10,5301
1,0.05,0.005,1e-4,1e3,5302
4,0.001,0.5,1e-5,1e6,5303
4,0.5,0.001,0.01,10,5304
4,0.1,0.01,1e-6,100,5305
4,0.5,0.9,1e-5,1e3,5306
20,0.05,0.001,1e-6,1e5,5307
20,0.1,0.5,1e-4,1e4,5308
20,0.009,0.005,0.1,1e3,5309
4,0.001,0.1,1e-4,1e3,5310
20,0.009,0.009,0.1,100,5311
20,0.05,0.001,0.01,1e3,5312
1,0.9,0.5,1e-6,1e3,5313
1,0.009,0.5,1e-6,1e3,5314
20,0.05,0.005,0.001,1e6,5315
20,0.1,0.009,1e-4,1e4,5316
4,0.1,0.1,0.1,1e5,5317
20,0.05,0.009,1e-5,100,5318
1,0.09,0.09,1e-5,100,5319
20,0.09,0.005,1e-5,1e3,5320
1,0.5,0.01,0.001,1e3,5321
1,0.05,0.05,0.01,100,5322
20,0.1,0.05,1e-6,1e4,5323
1,0.09,0.1,0.1,1e6,5324
20,0.001,0.01,1e-6,1e4,5325
1,0.009,0.5,1e-4,1e6,5326
4,0.009,0.1,1e-6,100,5327
20,0.001,0.05,1e-5,1e5,5328
1,0.005,0.05,1e-5,100,5329
20,0.09,0.9,1e-5,10,5330
4,0.09,0.05,0.001,10,5331
4,0.001,0.05,1e-5,10,5332
1,0.09,0.009,0.1,10,5333
1,0.09,0.1,0.001,100,5334
1,0.9,0.5,1e-5,1e6,5335
1,0.001,0.09,0.001,1e3,5336
4,0.1,0.005,0.001,100,5337
4,0.1,0.01,1e-5,10,5338
4,0.01,0.005,1e-5,10,5339
20,0.001,0.1,0.01,100,5340
4,0.9,0.005,0.1,100,5341
1,0.9,0.09,1e-5,1e4,5342
20,0.5,0.009,1e-6,100,5343
20,0.001,0.09,0.1,1e4,5344
1,0.005,0.9,0.1,10,5345
1,0.005,0.05,1e-5,10,5346
20,0.01,0.09,1e-6,10,5347
4,0.09,0.5,1e-4,1e4,5348
20,0.09,0.001,1e-4,1e4,5349
20,0.5,0.09,0.1,1e3,5350
20,0.05,0.09,1e-5,10,5351
4,0.009,0.009,1e-6,1e6,5352
1,0.09,0.09,1e-4,100,5353
4,0.1,0.1,0.001,1e4,5354
20,0.1,0.001,0.1,1e5,5355
4,0.5,0.9,1e-6,1e6,5356
1,0.01,0.05,1e-6,1e6,5357
1,0.009,0.01,0.1,1e6,5358
20,0.01,0.005,0.01,10,5359
1,0.009,0.9,0.01,1e5,5360
20,0.9,0.01,0.1,1e4,5361
20,0.1,0.005,0.001,100,5362
1,0.005,0.01,0.001,10,5363
4,0.5,0.9,1e-4,1e4,5364
20,0.5,0.5,1e-5,1e3,5365
1,0.001,0.09,0.1,1e5,5366
4,0.09,0.05,0.001,1e3,5367
4,0.01,0.9,1e-6,100,5368
4,0.05,0.05,0.001,1e4,5369
1,0.09,0.1,0.1,10,5370
4,0.05,0.9,1e-6,1e6,5371
1,0.9,0.009,1e-4,1e5,5372
4,0.005,0.009,0.001,10,5373
20,0.05,0.5,0.01,1e5,5374
20,0.9,0.5,0.1,1e4,5375
20,0.001,0.9,0.1,1e6,5376
1,0.05,0.009,0.1,1e3,5377
4,0.5,0.09,1e-4,1e4,5378
1,0.1,0.5,0.1,1e6,5379
20,0.1,0.1,1e-4,10,5380
20,0.9,0.9,1e-6,100,5381
4,0.009,0.09,1e-4,1e4,5382
1,0.09,0.009,0.1,1e3,5383
1,0.05,0.09,0.01,100,5384
20,0.05,0.1,0.01,10,5385
4,0.01,0.1,0.001,100,5386
4,0.05,0.001,1e-5,1e6,5387
20,0.09,0.05,1e-5,1e3,5388
4,0.09,0.01,1e-6,1e3,5389
4,0.1,0.5,0.001,10,5390
20,0.1,0.9,0.01,1e4,5391
1,0.005,0.001,0.001,100,5392
4,0.01,0.5,0.01,1e6,5393
20,0.009,0.01,0.001,1e5,5394
20,0.05,0.001,1e-5,1e3,5395
4,0.1,0.009,1e-6,1e5,5396
1,0.001,0.5,1e-5,100,5397
1,0.09,0.1,0.001,1e5,5398
4,0.9,0.9,0.01,1e3,5399
1,0.09,0.001,0.01,1e6,5400
4,0.009,0.5,0.01,1e5,5401
4,0.009,0.01,0.01,1e4,5402
20,0.009,0.01,0.001,1e5,5403
1,0.05,0.5,0.01,1e4,5404
20,0.1,0.05,0.001,1e5,5405
20,0.09,0.01,1e-4,1e4,5406
4,0.9,0.1,1e-4,100,5407
4,0.009,0.001,1e-6,1e3,5408
1,0.1,0.5,1e-5,1e6,5409
4,0.5,0.01,0.001,1e6,5410
1,0.005,0.1,0.1,10,5411
20,0.9,0.09,1e-5,1e3,5412
1,0.05,0.9,0.001,10,5413
1,0.005,0.09,0.01,100,5414
4,0.1,0.005,0.001,100,5415
20,0.009,0.009,1e-5,100,5416
1,0.09,0.9,0.01,1e3,5417
1,0.05,0.1,1e-4,1e5,5418
4,0.05,0.009,0.1,100,5419
1,0.009,0.1,0.001,1e4,5420
20,0.1,0.01,0.1,10,5421
4,0.05,0.5,0.1,1e5,5422
1,0.5,0.1,1e-6,1e4,5423
4,0.1,0.09,1e-6,1e4,5424
20,0.9,0.05,1e-6,1e6,5425
20,0.001,0.001,1e-4,1e5,5426
4,0.5,0.1,1e-6,100,5427
20,0.01,0.009,0.1,1e4,5428
4,0.09,0.1,1e-6,1e6,5429
1,0.005,0.05,0.01,1e4,5430
1,0.005,0.05,0.1,100,5431
4,0.5,0.09,0.001,10,5432
4,0.5,0.05,0.001,100,5433
4,0.5,0.1,0.01,100,5434
1,0.01,0.9,1e-5,1e4,5435
1,0.05,0.005,1e-4,1e5,5436
20,0.1,0.009,0.001,10,5437
20,0.1,0.09,0.1,1e6,5438
4,0.005,0.005,0.001,100,5439
1,0.5,0.1,0.01,100,5440
20,0.05,0.09,1e-5,10,5441
4,0.01,0.05,0.01,1e4,5442
20,0.01,0.5,1e-4,10,5443
20,0.5,0.5,0.01,10,5444
20,0.09,0.09,0.001,10,5445
20,0.05,0.09,0.1,1e5,5446
1,0.001,0.01,1e-4,1e4,5447
4,0.1,0.005,0.1,1e5,5448
1,0.9,0.05,0.001,100,5449
4,0.9,0.001,1e-6,10,5450
4,0.9,0.001,0.01,1e6,5451
20,0.005,0.01,0.001,1e3,5452
20,0.001,0.009,0.001,10,5453
20,0.005,0.5,0.01,1e6,5454
4,0.9,0.001,1e-6,1e5,5455
4,0.009,0.1,0.1,1e6,5456
4,0.1,0.1,1e-4,1e5,5457
1,0.09,0.005,1e-5,1e4,5458
20,0.9,0.001,0.1,100,5459
20,0.05,0.005,0.001,10,5460
4,0.1,0.009,0.001,100,5461
20,0.09,0.009,1e-6,1e3,5462
4,0.05,0.005,1e-6,1e3,5463
